Source,Target,Type,Id,Label,Weight,edge-type,MMNT-EdgeType
5451,4584,Undirected,2478,Legend-Legend,15,,Legend<--->Legend
5451,4634,Undirected,2479,Legend-Legend,11,,Legend<--->Legend
5451,4652,Undirected,2480,Legend-Legend,12,,Legend<--->Legend
5451,3048,Undirected,2481,Legend-Legend,13,,Legend<--->Legend
5451,4702,Undirected,2482,Legend-Legend,13,,Legend<--->Legend
5451,5339,Undirected,2483,Legend-Legend,14,,Legend<--->Legend
5451,4609,Undirected,2484,Legend-Legend,12,,Legend<--->Legend
5451,4742,Undirected,2485,Legend-Legend,12,,Legend<--->Legend
5451,4579,Undirected,2486,Legend-Legend,13,,Legend<--->Legend
5451,4603,Undirected,2487,Legend-Legend,14,,Legend<--->Legend
5451,4752,Undirected,2488,Legend-Legend,14,,Legend<--->Legend
5451,6852,Undirected,2489,Legend-Legend,10,,Legend<--->Legend
5451,4773,Undirected,2490,Legend-Legend,11,,Legend<--->Legend
5451,4532,Undirected,2491,Legend-Legend,11,,Legend<--->Legend
5451,4728,Undirected,2492,Legend-Legend,12,,Legend<--->Legend
5451,1301,Undirected,2493,Legend-Legend,11,,Legend<--->Legend
5451,4543,Undirected,2494,Legend-Legend,14,,Legend<--->Legend
5451,4732,Undirected,2495,Legend-Legend,14,,Legend<--->Legend
5451,3127,Undirected,2496,Legend-Legend,13,,Legend<--->Legend
5451,6086,Undirected,2497,Legend-Legend,10,,Legend<--->Legend
5451,4772,Undirected,2498,Legend-Legend,12,,Legend<--->Legend
5451,4651,Undirected,2499,Legend-Legend,12,,Legend<--->Legend
5451,4565,Undirected,2500,Legend-Legend,12,,Legend<--->Legend
5451,4590,Undirected,2501,Legend-Legend,12,,Legend<--->Legend
5451,4697,Undirected,2502,Legend-Legend,14,,Legend<--->Legend
5451,5338,Undirected,2503,Legend-Legend,13,,Legend<--->Legend
5451,4731,Undirected,2504,Legend-Legend,14,,Legend<--->Legend
5451,4737,Undirected,2505,Legend-Legend,13,,Legend<--->Legend
5451,4762,Undirected,2506,Legend-Legend,11,,Legend<--->Legend
5451,4614,Undirected,2507,Legend-Legend,10,,Legend<--->Legend
5451,4530,Undirected,2508,Legend-Legend,12,,Legend<--->Legend
5451,4740,Undirected,2509,Legend-Legend,10,,Legend<--->Legend
5451,4704,Undirected,2510,Legend-Legend,12,,Legend<--->Legend
5451,4536,Undirected,2511,Legend-Legend,12,,Legend<--->Legend
5451,133,Undirected,2512,Legend-Legend,12,,Legend<--->Legend
5451,4535,Undirected,2513,Legend-Legend,13,,Legend<--->Legend
5451,4647,Undirected,2514,Legend-Legend,14,,Legend<--->Legend
5451,4745,Undirected,2515,Legend-Legend,13,,Legend<--->Legend
5451,4749,Undirected,2516,Legend-Legend,13,,Legend<--->Legend
5451,4688,Undirected,2517,Legend-Legend,13,,Legend<--->Legend
5451,4620,Undirected,2518,Legend-Legend,13,,Legend<--->Legend
5451,4659,Undirected,2519,Legend-Legend,13,,Legend<--->Legend
5451,4577,Undirected,2520,Legend-Legend,12,,Legend<--->Legend
5451,4767,Undirected,2521,Legend-Legend,13,,Legend<--->Legend
5451,4571,Undirected,2522,Legend-Legend,10,,Legend<--->Legend
5451,4653,Undirected,2523,Legend-Legend,11,,Legend<--->Legend
5451,4549,Undirected,2524,Legend-Legend,12,,Legend<--->Legend
