Source,Target,Type,Id,Label,Weight,edge-type,MMNT-EdgeType
M1,M4,Undirected,2478,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M8,Undirected,2479,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M9,Undirected,2480,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M11,Undirected,2481,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M13,Undirected,2482,Manuscript-Manuscript,4,,Manuscript<--->Manuscript
M1,M19,Undirected,2483,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M20,Undirected,2484,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M28,Undirected,2485,Manuscript-Manuscript,2,,Manuscript<--->Manuscript
M1,M32,Undirected,2486,Manuscript-Manuscript,2,,Manuscript<--->Manuscript
M1,M33,Undirected,2487,Manuscript-Manuscript,2,,Manuscript<--->Manuscript
M1,M34,Undirected,2488,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M38,Undirected,2489,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M42,Undirected,2490,Manuscript-Manuscript,2,,Manuscript<--->Manuscript
M1,M44,Undirected,2491,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M46,Undirected,2492,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M48,Undirected,2493,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M49,Undirected,2494,Manuscript-Manuscript,3,,Manuscript<--->Manuscript
M1,M51,Undirected,2495,Manuscript-Manuscript,3,,Manuscript<--->Manuscript
M1,M55,Undirected,2496,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M56,Undirected,2497,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M60,Undirected,2498,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M1,M62,Undirected,2499,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M8,Undirected,2500,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M11,Undirected,2501,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M19,Undirected,2502,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M32,Undirected,2503,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M34,Undirected,2504,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M48,Undirected,2505,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M49,Undirected,2506,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M51,Undirected,2507,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M55,Undirected,2508,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M56,Undirected,2509,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M2,M63,Undirected,2510,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M4,Undirected,2511,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M8,Undirected,2512,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M11,Undirected,2513,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M13,Undirected,2514,Manuscript-Manuscript,2,,Manuscript<--->Manuscript
M3,M17,Undirected,2515,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M19,Undirected,2516,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M27,Undirected,2517,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M28,Undirected,2518,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M32,Undirected,2519,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M34,Undirected,2520,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
M3,M36,Undirected,2521,Manuscript-Manuscript,1,,Manuscript<--->Manuscript
