Source,Target,Type,Id,Label,Weight,edge-type,MMNT-EdgeType
4584,4652,Undirected,2638,Legend-Legend,18,,Legend<--->Legend
4584,3048,Undirected,2639,Legend-Legend,19,,Legend<--->Legend
4584,4702,Undirected,2640,Legend-Legend,20,,Legend<--->Legend
4584,5339,Undirected,2641,Legend-Legend,19,,Legend<--->Legend
4584,4609,Undirected,2642,Legend-Legend,19,,Legend<--->Legend
4584,4742,Undirected,2643,Legend-Legend,18,,Legend<--->Legend
4584,4579,Undirected,2644,Legend-Legend,19,,Legend<--->Legend
4584,4603,Undirected,2645,Legend-Legend,22,,Legend<--->Legend
4584,4752,Undirected,2646,Legend-Legend,20,,Legend<--->Legend
4584,4728,Undirected,2650,Legend-Legend,19,,Legend<--->Legend
4584,4543,Undirected,2652,Legend-Legend,20,,Legend<--->Legend
4584,3127,Undirected,2654,Legend-Legend,18,,Legend<--->Legend
4584,4772,Undirected,2656,Legend-Legend,18,,Legend<--->Legend
4584,4565,Undirected,2658,Legend-Legend,18,,Legend<--->Legend
4584,4697,Undirected,2660,Legend-Legend,20,,Legend<--->Legend
4584,5338,Undirected,2661,Legend-Legend,17,,Legend<--->Legend
4584,4737,Undirected,2663,Legend-Legend,17,,Legend<--->Legend
4584,4535,Undirected,2671,Legend-Legend,18,,Legend<--->Legend
4584,4647,Undirected,2672,Legend-Legend,17,,Legend<--->Legend
4584,4745,Undirected,2673,Legend-Legend,17,,Legend<--->Legend
4584,4749,Undirected,2674,Legend-Legend,16,,Legend<--->Legend
4584,4659,Undirected,2677,Legend-Legend,17,,Legend<--->Legend
4584,4545,Undirected,2685,Legend-Legend,18,,Legend<--->Legend
4584,4576,Undirected,2687,Legend-Legend,17,,Legend<--->Legend
4652,3048,Undirected,3031,Legend-Legend,16,,Legend<--->Legend
4652,4702,Undirected,3032,Legend-Legend,16,,Legend<--->Legend
4652,5339,Undirected,3033,Legend-Legend,19,,Legend<--->Legend
4652,4609,Undirected,3034,Legend-Legend,18,,Legend<--->Legend
4652,4742,Undirected,3035,Legend-Legend,19,,Legend<--->Legend
4652,4579,Undirected,3036,Legend-Legend,18,,Legend<--->Legend
4652,4603,Undirected,3037,Legend-Legend,17,,Legend<--->Legend
4652,4752,Undirected,3038,Legend-Legend,18,,Legend<--->Legend
4652,4728,Undirected,3042,Legend-Legend,19,,Legend<--->Legend
4652,4543,Undirected,3044,Legend-Legend,16,,Legend<--->Legend
4652,3127,Undirected,3046,Legend-Legend,16,,Legend<--->Legend
4652,4772,Undirected,3048,Legend-Legend,19,,Legend<--->Legend
4652,4565,Undirected,3050,Legend-Legend,19,,Legend<--->Legend
4652,4697,Undirected,3052,Legend-Legend,17,,Legend<--->Legend
4652,5338,Undirected,3053,Legend-Legend,16,,Legend<--->Legend
4652,4737,Undirected,3055,Legend-Legend,14,,Legend<--->Legend
4652,4535,Undirected,3063,Legend-Legend,15,,Legend<--->Legend
4652,4647,Undirected,3064,Legend-Legend,16,,Legend<--->Legend
4652,4745,Undirected,3065,Legend-Legend,15,,Legend<--->Legend
4652,4749,Undirected,3066,Legend-Legend,15,,Legend<--->Legend
4652,4659,Undirected,3069,Legend-Legend,15,,Legend<--->Legend
4652,4545,Undirected,3077,Legend-Legend,15,,Legend<--->Legend
4652,4576,Undirected,3079,Legend-Legend,15,,Legend<--->Legend
3048,4702,Undirected,3224,Legend-Legend,19,,Legend<--->Legend
3048,5339,Undirected,3225,Legend-Legend,19,,Legend<--->Legend
3048,4609,Undirected,3226,Legend-Legend,17,,Legend<--->Legend
3048,4742,Undirected,3227,Legend-Legend,16,,Legend<--->Legend
3048,4579,Undirected,3228,Legend-Legend,18,,Legend<--->Legend
3048,4603,Undirected,3229,Legend-Legend,19,,Legend<--->Legend
3048,4752,Undirected,3230,Legend-Legend,19,,Legend<--->Legend
3048,4728,Undirected,3234,Legend-Legend,18,,Legend<--->Legend
3048,4543,Undirected,3236,Legend-Legend,18,,Legend<--->Legend
3048,3127,Undirected,3238,Legend-Legend,20,,Legend<--->Legend
3048,4772,Undirected,3240,Legend-Legend,16,,Legend<--->Legend
3048,4565,Undirected,3242,Legend-Legend,16,,Legend<--->Legend
3048,4697,Undirected,3244,Legend-Legend,18,,Legend<--->Legend
3048,5338,Undirected,3245,Legend-Legend,18,,Legend<--->Legend
3048,4737,Undirected,3247,Legend-Legend,14,,Legend<--->Legend
3048,4535,Undirected,3255,Legend-Legend,18,,Legend<--->Legend
3048,4647,Undirected,3256,Legend-Legend,15,,Legend<--->Legend
3048,4745,Undirected,3257,Legend-Legend,16,,Legend<--->Legend
3048,4749,Undirected,3258,Legend-Legend,17,,Legend<--->Legend
3048,4659,Undirected,3261,Legend-Legend,15,,Legend<--->Legend
3048,4545,Undirected,3269,Legend-Legend,16,,Legend<--->Legend
3048,4576,Undirected,3271,Legend-Legend,15,,Legend<--->Legend
4702,5339,Undirected,3416,Legend-Legend,18,,Legend<--->Legend
4702,4609,Undirected,3417,Legend-Legend,17,,Legend<--->Legend
4702,4742,Undirected,3418,Legend-Legend,16,,Legend<--->Legend
4702,4579,Undirected,3419,Legend-Legend,18,,Legend<--->Legend
4702,4603,Undirected,3420,Legend-Legend,19,,Legend<--->Legend
4702,4752,Undirected,3421,Legend-Legend,19,,Legend<--->Legend
4702,4728,Undirected,3425,Legend-Legend,18,,Legend<--->Legend
4702,4543,Undirected,3427,Legend-Legend,18,,Legend<--->Legend
4702,3127,Undirected,3429,Legend-Legend,18,,Legend<--->Legend
4702,4772,Undirected,3431,Legend-Legend,16,,Legend<--->Legend
4702,4565,Undirected,3433,Legend-Legend,16,,Legend<--->Legend
4702,4697,Undirected,3435,Legend-Legend,18,,Legend<--->Legend
4702,5338,Undirected,3436,Legend-Legend,17,,Legend<--->Legend
