Source,Target,Type,Id,Label,Weight,edge-type,MMNT-EdgeType
M4,M8,Undirected,2529,Manuscript-Manuscript,44,,Manuscript<--->Manuscript
M4,M9,Undirected,2530,Manuscript-Manuscript,18,,Manuscript<--->Manuscript
M4,M11,Undirected,2531,Manuscript-Manuscript,61,,Manuscript<--->Manuscript
M4,M13,Undirected,2532,Manuscript-Manuscript,58,,Manuscript<--->Manuscript
M4,M19,Undirected,2534,Manuscript-Manuscript,34,,Manuscript<--->Manuscript
M4,M28,Undirected,2540,Manuscript-Manuscript,58,,Manuscript<--->Manuscript
M4,M32,Undirected,2542,Manuscript-Manuscript,36,,Manuscript<--->Manuscript
M4,M33,Undirected,2543,Manuscript-Manuscript,40,,Manuscript<--->Manuscript
M4,M34,Undirected,2544,Manuscript-Manuscript,45,,Manuscript<--->Manuscript
M4,M36,Undirected,2546,Manuscript-Manuscript,42,,Manuscript<--->Manuscript
M4,M38,Undirected,2548,Manuscript-Manuscript,27,,Manuscript<--->Manuscript
M4,M42,Undirected,2551,Manuscript-Manuscript,46,,Manuscript<--->Manuscript
M4,M44,Undirected,2552,Manuscript-Manuscript,48,,Manuscript<--->Manuscript
M4,M46,Undirected,2553,Manuscript-Manuscript,19,,Manuscript<--->Manuscript
M4,M48,Undirected,2555,Manuscript-Manuscript,50,,Manuscript<--->Manuscript
M4,M49,Undirected,2556,Manuscript-Manuscript,42,,Manuscript<--->Manuscript
M4,M51,Undirected,2557,Manuscript-Manuscript,40,,Manuscript<--->Manuscript
M4,M55,Undirected,2560,Manuscript-Manuscript,36,,Manuscript<--->Manuscript
M4,M56,Undirected,2561,Manuscript-Manuscript,54,,Manuscript<--->Manuscript
M4,M59,Undirected,2562,Manuscript-Manuscript,15,,Manuscript<--->Manuscript
M4,M60,Undirected,2563,Manuscript-Manuscript,16,,Manuscript<--->Manuscript
M4,M62,Undirected,2565,Manuscript-Manuscript,14,,Manuscript<--->Manuscript
M4,M63,Undirected,2566,Manuscript-Manuscript,36,,Manuscript<--->Manuscript
M4,M65,Undirected,2567,Manuscript-Manuscript,6,,Manuscript<--->Manuscript
M8,M9,Undirected,2611,Manuscript-Manuscript,11,,Manuscript<--->Manuscript
M8,M11,Undirected,2613,Manuscript-Manuscript,83,,Manuscript<--->Manuscript
M8,M13,Undirected,2615,Manuscript-Manuscript,83,,Manuscript<--->Manuscript
M8,M19,Undirected,2620,Manuscript-Manuscript,70,,Manuscript<--->Manuscript
M8,M28,Undirected,2629,Manuscript-Manuscript,76,,Manuscript<--->Manuscript
M8,M32,Undirected,2631,Manuscript-Manuscript,66,,Manuscript<--->Manuscript
M8,M33,Undirected,2632,Manuscript-Manuscript,54,,Manuscript<--->Manuscript
M8,M34,Undirected,2633,Manuscript-Manuscript,64,,Manuscript<--->Manuscript
M8,M36,Undirected,2635,Manuscript-Manuscript,59,,Manuscript<--->Manuscript
M8,M38,Undirected,2637,Manuscript-Manuscript,12,,Manuscript<--->Manuscript
M8,M42,Undirected,2641,Manuscript-Manuscript,52,,Manuscript<--->Manuscript
M8,M44,Undirected,2643,Manuscript-Manuscript,62,,Manuscript<--->Manuscript
M8,M46,Undirected,2645,Manuscript-Manuscript,38,,Manuscript<--->Manuscript
M8,M48,Undirected,2647,Manuscript-Manuscript,70,,Manuscript<--->Manuscript
M8,M49,Undirected,2648,Manuscript-Manuscript,70,,Manuscript<--->Manuscript
M8,M51,Undirected,2650,Manuscript-Manuscript,67,,Manuscript<--->Manuscript
M8,M55,Undirected,2654,Manuscript-Manuscript,40,,Manuscript<--->Manuscript
M8,M56,Undirected,2655,Manuscript-Manuscript,83,,Manuscript<--->Manuscript
M8,M59,Undirected,2657,Manuscript-Manuscript,13,,Manuscript<--->Manuscript
M8,M60,Undirected,2658,Manuscript-Manuscript,45,,Manuscript<--->Manuscript
M8,M62,Undirected,2660,Manuscript-Manuscript,26,,Manuscript<--->Manuscript
M8,M63,Undirected,2661,Manuscript-Manuscript,57,,Manuscript<--->Manuscript
M8,M65,Undirected,2663,Manuscript-Manuscript,22,,Manuscript<--->Manuscript
M9,M11,Undirected,2669,Manuscript-Manuscript,18,,Manuscript<--->Manuscript
M9,M13,Undirected,2670,Manuscript-Manuscript,18,,Manuscript<--->Manuscript
M9,M19,Undirected,2671,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M28,Undirected,2674,Manuscript-Manuscript,18,,Manuscript<--->Manuscript
M9,M32,Undirected,2675,Manuscript-Manuscript,12,,Manuscript<--->Manuscript
M9,M33,Undirected,2676,Manuscript-Manuscript,17,,Manuscript<--->Manuscript
M9,M34,Undirected,2677,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M36,Undirected,2679,Manuscript-Manuscript,7,,Manuscript<--->Manuscript
M9,M38,Undirected,2680,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M42,Undirected,2682,Manuscript-Manuscript,20,,Manuscript<--->Manuscript
M9,M44,Undirected,2683,Manuscript-Manuscript,17,,Manuscript<--->Manuscript
M9,M46,Undirected,2684,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M48,Undirected,2685,Manuscript-Manuscript,14,,Manuscript<--->Manuscript
M9,M49,Undirected,2686,Manuscript-Manuscript,16,,Manuscript<--->Manuscript
M9,M51,Undirected,2687,Manuscript-Manuscript,16,,Manuscript<--->Manuscript
M9,M55,Undirected,2689,Manuscript-Manuscript,13,,Manuscript<--->Manuscript
M9,M56,Undirected,2690,Manuscript-Manuscript,16,,Manuscript<--->Manuscript
M9,M59,Undirected,2691,Manuscript-Manuscript,5,,Manuscript<--->Manuscript
M9,M60,Undirected,2692,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M62,Undirected,2693,Manuscript-Manuscript,9,,Manuscript<--->Manuscript
M9,M63,Undirected,2694,Manuscript-Manuscript,7,,Manuscript<--->Manuscript
M9,M65,Undirected,2695,Manuscript-Manuscript,5,,Manuscript<--->Manuscript
M11,M13,Undirected,2725,Manuscript-Manuscript,103,,Manuscript<--->Manuscript
M11,M19,Undirected,2730,Manuscript-Manuscript,69,,Manuscript<--->Manuscript
M11,M28,Undirected,2739,Manuscript-Manuscript,95,,Manuscript<--->Manuscript
M11,M32,Undirected,2742,Manuscript-Manuscript,74,,Manuscript<--->Manuscript
M11,M33,Undirected,2743,Manuscript-Manuscript,67,,Manuscript<--->Manuscript
M11,M34,Undirected,2744,Manuscript-Manuscript,81,,Manuscript<--->Manuscript
M11,M36,Undirected,2746,Manuscript-Manuscript,73,,Manuscript<--->Manuscript
M11,M38,Undirected,2748,Manuscript-Manuscript,29,,Manuscript<--->Manuscript
M11,M42,Undirected,2752,Manuscript-Manuscript,68,,Manuscript<--->Manuscript
M11,M44,Undirected,2754,Manuscript-Manuscript,77,,Manuscript<--->Manuscript
M11,M46,Undirected,2756,Manuscript-Manuscript,38,,Manuscript<--->Manuscript
M11,M48,Undirected,2758,Manuscript-Manuscript,92,,Manuscript<--->Manuscript
M11,M49,Undirected,2759,Manuscript-Manuscript,90,,Manuscript<--->Manuscript
M11,M51,Undirected,2761,Manuscript-Manuscript,78,,Manuscript<--->Manuscript
M11,M55,Undirected,2765,Manuscript-Manuscript,55,,Manuscript<--->Manuscript
M11,M56,Undirected,2766,Manuscript-Manuscript,96,,Manuscript<--->Manuscript
M11,M59,Undirected,2769,Manuscript-Manuscript,18,,Manuscript<--->Manuscript
M11,M60,Undirected,2770,Manuscript-Manuscript,45,,Manuscript<--->Manuscript
M11,M62,Undirected,2772,Manuscript-Manuscript,26,,Manuscript<--->Manuscript
M11,M63,Undirected,2773,Manuscript-Manuscript,70,,Manuscript<--->Manuscript
M11,M65,Undirected,2775,Manuscript-Manuscript,20,,Manuscript<--->Manuscript
M13,M19,Undirected,2812,Manuscript-Manuscript,69,,Manuscript<--->Manuscript
M13,M28,Undirected,2821,Manuscript-Manuscript,98,,Manuscript<--->Manuscript
M13,M32,Undirected,2825,Manuscript-Manuscript,79,,Manuscript<--->Manuscript
M13,M33,Undirected,2826,Manuscript-Manuscript,69,,Manuscript<--->Manuscript
M13,M34,Undirected,2827,Manuscript-Manuscript,79,,Manuscript<--->Manuscript
M13,M36,Undirected,2829,Manuscript-Manuscript,70,,Manuscript<--->Manuscript
M13,M38,Undirected,2831,Manuscript-Manuscript,33,,Manuscript<--->Manuscript
M13,M42,Undirected,2834,Manuscript-Manuscript,78,,Manuscript<--->Manuscript
M13,M44,Undirected,2836,Manuscript-Manuscript,80,,Manuscript<--->Manuscript
M13,M46,Undirected,2838,Manuscript-Manuscript,41,,Manuscript<--->Manuscript
M13,M48,Undirected,2840,Manuscript-Manuscript,89,,Manuscript<--->Manuscript
M13,M49,Undirected,2841,Manuscript-Manuscript,90,,Manuscript<--->Manuscript
M13,M51,Undirected,2843,Manuscript-Manuscript,84,,Manuscript<--->Manuscript
M13,M55,Undirected,2847,Manuscript-Manuscript,60,,Manuscript<--->Manuscript
M13,M56,Undirected,2848,Manuscript-Manuscript,95,,Manuscript<--->Manuscript
M13,M59,Undirected,2851,Manuscript-Manuscript,20,,Manuscript<--->Manuscript
M13,M60,Undirected,2852,Manuscript-Manuscript,48,,Manuscript<--->Manuscript
M13,M62,Undirected,2854,Manuscript-Manuscript,26,,Manuscript<--->Manuscript
M13,M63,Undirected,2855,Manuscript-Manuscript,68,,Manuscript<--->Manuscript
M13,M65,Undirected,2857,Manuscript-Manuscript,22,,Manuscript<--->Manuscript
M19,M28,Undirected,2952,Manuscript-Manuscript,62,,Manuscript<--->Manuscript
M19,M32,Undirected,2954,Manuscript-Manuscript,61,,Manuscript<--->Manuscript
M19,M33,Undirected,2955,Manuscript-Manuscript,46,,Manuscript<--->Manuscript
M19,M34,Undirected,2956,Manuscript-Manuscript,56,,Manuscript<--->Manuscript
M19,M36,Undirected,2958,Manuscript-Manuscript,45,,Manuscript<--->Manuscript
M19,M38,Undirected,2960,Manuscript-Manuscript,3,,Manuscript<--->Manuscript
M19,M42,Undirected,2963,Manuscript-Manuscript,45,,Manuscript<--->Manuscript
M19,M44,Undirected,2965,Manuscript-Manuscript,53,,Manuscript<--->Manuscript
